Done binary_co_occurence_paraphrase, bin_count = 4, bin_count_early = 3
Done binary_co_occurence_paraphrase, bin_count = 6, bin_count_early = 5
Done binary_co_occurence_paraphrase, bin_count = 6, bin_count_early = 5
Done binary_co_occurence_paraphrase, bin_count = 1, bin_count_early = 0
Done binary_co_occurence_paraphrase, bin_count = 3, bin_count_early = 2
Done binary_co_occurence_paraphrase, bin_count = 3, bin_count_early = 2
Done binary_co_occurence_paraphrase, bin_count = 3, bin_count_early = 1
Done binary_co_occurence_paraphrase, bin_count = 2, bin_count_early = 2
Done binary_co_occurence_paraphrase, bin_count = 6, bin_count_early = 5
Done binary_co_occurence_paraphrase, bin_count = 2, bin_count_early = 1
Done binary_co_occurence_paraphrase, bin_count = 0, bin_count_early = 0
Done binary_co_occurence_paraphrase, bin_count = 1, bin_count_early = 0
Done binary_co_occurence_paraphrase, bin_count = 3, bin_count_early = 3
Done binary_co_occurence_paraphrase, bin_count = 2, bin_count_early = 0
Done binary_co_occurence_paraphrase, bin_count = 6, bin_count_early = 4
Done binary_co_occurence_paraphrase, bin_count = 9, bin_count_early = 0
Done binary_co_occurence_paraphrase, bin_count = 2, bin_count_early = 2
Done binary_co_occurence_paraphrase, bin_count = 9, bin_count_early = 5
Done binary_co_occurence_paraphrase, bin_count = 4, bin_count_early = 2
Done binary_co_occurence_paraphrase, bin_count = 5, bin_count_early = 2
Done binary_co_occurence_paraphrase, bin_count = 2, bin_count_early = 2
Done binary_co_occurence_paraphrase, bin_count = 1, bin_count_early = 1
Done binary_co_occurence_paraphrase, bin_count = 2, bin_count_early = 1
Done binary_co_occurence_paraphrase, bin_count = 5, bin_count_early = 2
Done binary_co_occurence_paraphrase, bin_count = 3, bin_count_early = 2
Done binary_co_occurence_paraphrase, bin_count = 3, bin_count_early = 2
Done binary_co_occurence_paraphrase, bin_count = 9, bin_count_early = 9
Done binary_co_occurence_paraphrase, bin_count = 2, bin_count_early = 2
Done binary_co_occurence_paraphrase, bin_count = 6, bin_count_early = 5
Done binary_co_occurence_paraphrase, bin_count = 8, bin_count_early = 7
Done binary_co_occurence_paraphrase, bin_count = 5, bin_count_early = 3
Done binary_co_occurence_paraphrase, bin_count = 10, bin_count_early = 8
Done binary_co_occurence_paraphrase, bin_count = 4, bin_count_early = 1
Done binary_co_occurence_paraphrase, bin_count = 6, bin_count_early = 2
Done binary_co_occurence_paraphrase, bin_count = 0, bin_count_early = 0
Done binary_co_occurence_paraphrase, bin_count = 1, bin_count_early = 1
Done binary_co_occurence_paraphrase, bin_count = 2, bin_count_early = 1
Done binary_co_occurence_paraphrase, bin_count = 1, bin_count_early = 1
Done binary_co_occurence_paraphrase, bin_count = 4, bin_count_early = 2
Done binary_co_occurence_paraphrase, bin_count = 0, bin_count_early = 0
Done binary_co_occurence_paraphrase, bin_count = 5, bin_count_early = 3
Done binary_co_occurence_paraphrase, bin_count = 9, bin_count_early = 3
Done binary_co_occurence_paraphrase, bin_count = 12, bin_count_early = 2
Done binary_co_occurence_paraphrase, bin_count = 12, bin_count_early = 5
Done binary_co_occurence_paraphrase, bin_count = 4, bin_count_early = 2
Done binary_co_occurence_paraphrase, bin_count = 5, bin_count_early = 0
Done binary_co_occurence_paraphrase, bin_count = 7, bin_count_early = 5
Done binary_co_occurence_paraphrase, bin_count = 4, bin_count_early = 3
Done binary_co_occurence_paraphrase, bin_count = 6, bin_count_early = 3
Done binary_co_occurence_paraphrase, bin_count = 4, bin_count_early = 4
Done binary_co_occurence_paraphrase, bin_count = 6, bin_count_early = 5
Done binary_co_occurence_paraphrase, bin_count = 6, bin_count_early = 4
Done binary_co_occurence_paraphrase, bin_count = 4, bin_count_early = 4
Done binary_co_occurence_paraphrase, bin_count = 2, bin_count_early = 1
Done binary_co_occurence_paraphrase, bin_count = 1, bin_count_early = 1
Done binary_co_occurence_paraphrase, bin_count = 3, bin_count_early = 1
Done binary_co_occurence_paraphrase, bin_count = 3, bin_count_early = 2
Done binary_co_occurence_paraphrase, bin_count = 3, bin_count_early = 3
Done binary_co_occurence_paraphrase, bin_count = 7, bin_count_early = 4
Done binary_co_occurence_paraphrase, bin_count = 4, bin_count_early = 1
Done binary_co_occurence_paraphrase, bin_count = 5, bin_count_early = 2
Done binary_co_occurence_paraphrase, bin_count = 5, bin_count_early = 1
Done binary_co_occurence_paraphrase, bin_count = 3, bin_count_early = 1
Done binary_co_occurence_paraphrase, bin_count = 8, bin_count_early = 7
Done binary_co_occurence_paraphrase, bin_count = 1, bin_count_early = 1
Done binary_co_occurence_paraphrase, bin_count = 0, bin_count_early = 0
Done binary_co_occurence_paraphrase, bin_count = 1, bin_count_early = 1
Done binary_co_occurence_paraphrase, bin_count = 9, bin_count_early = 5
Done binary_co_occurence_paraphrase, bin_count = 3, bin_count_early = 3
Done binary_co_occurence_paraphrase, bin_count = 6, bin_count_early = 4
Done binary_co_occurence_paraphrase, bin_count = 4, bin_count_early = 3
Done binary_co_occurence_paraphrase, bin_count = 6, bin_count_early = 6
Done binary_co_occurence_paraphrase, bin_count = 1, bin_count_early = 1
Done binary_co_occurence_paraphrase, bin_count = 5, bin_count_early = 5
Done binary_co_occurence_paraphrase, bin_count = 6, bin_count_early = 5
Done binary_co_occurence_paraphrase, bin_count = 3, bin_count_early = 2
Done binary_co_occurence_paraphrase, bin_count = 5, bin_count_early = 2
Done binary_co_occurence_paraphrase, bin_count = 4, bin_count_early = 1
Done binary_co_occurence_paraphrase, bin_count = 1, bin_count_early = 1
Done binary_co_occurence_paraphrase, bin_count = 7, bin_count_early = 3
Done binary_co_occurence_paraphrase, bin_count = 14, bin_count_early = 5
Done binary_co_occurence_paraphrase, bin_count = 5, bin_count_early = 3
Done binary_co_occurence_paraphrase, bin_count = 0, bin_count_early = 0
Done binary_co_occurence_paraphrase, bin_count = 2, bin_count_early = 2
Done binary_co_occurence_paraphrase, bin_count = 6, bin_count_early = 3
Done binary_co_occurence_paraphrase, bin_count = 7, bin_count_early = 6
Done binary_co_occurence_paraphrase, bin_count = 8, bin_count_early = 7
Done binary_co_occurence_paraphrase, bin_count = 7, bin_count_early = 3
Done binary_co_occurence_paraphrase, bin_count = 7, bin_count_early = 1
Done binary_co_occurence_paraphrase, bin_count = 5, bin_count_early = 3
Done binary_co_occurence_paraphrase, bin_count = 8, bin_count_early = 7
Done binary_co_occurence_paraphrase, bin_count = 8, bin_count_early = 0
Done binary_co_occurence_paraphrase, bin_count = 0, bin_count_early = 0
Done binary_co_occurence_paraphrase, bin_count = 10, bin_count_early = 5
Done binary_co_occurence_paraphrase, bin_count = 6, bin_count_early = 4
Done binary_co_occurence_paraphrase, bin_count = 6, bin_count_early = 6
Done binary_co_occurence_paraphrase, bin_count = 13, bin_count_early = 6
Done binary_co_occurence_paraphrase, bin_count = 5, bin_count_early = 3
Done binary_co_occurence_paraphrase, bin_count = 2, bin_count_early = 1
Done binary_co_occurence_paraphrase, bin_count = 3, bin_count_early = 1
Done binary_co_occurence_paraphrase, bin_count = 5, bin_count_early = 2
Done binary_co_occurence_paraphrase, bin_count = 1, bin_count_early = 1
Done binary_co_occurence_paraphrase, bin_count = 3, bin_count_early = 2
Done binary_co_occurence_paraphrase, bin_count = 2, bin_count_early = 2
Done binary_co_occurence_paraphrase, bin_count = 5, bin_count_early = 4
Done binary_co_occurence_paraphrase, bin_count = 4, bin_count_early = 3
Done binary_co_occurence_paraphrase, bin_count = 13, bin_count_early = 2
Done binary_co_occurence_paraphrase, bin_count = 1, bin_count_early = 1
Done binary_co_occurence_paraphrase, bin_count = 4, bin_count_early = 3
Done binary_co_occurence_paraphrase, bin_count = 4, bin_count_early = 2
Done binary_co_occurence_paraphrase, bin_count = 2, bin_count_early = 2
Done binary_co_occurence_paraphrase, bin_count = 4, bin_count_early = 4
Done binary_co_occurence_paraphrase, bin_count = 5, bin_count_early = 4
Done binary_co_occurence_paraphrase, bin_count = 0, bin_count_early = 0
Done binary_co_occurence_paraphrase, bin_count = 8, bin_count_early = 5
Done binary_co_occurence_paraphrase, bin_count = 4, bin_count_early = 4
Done binary_co_occurence_paraphrase, bin_count = 6, bin_count_early = 4
Done binary_co_occurence_paraphrase, bin_count = 10, bin_count_early = 8
Done binary_co_occurence_paraphrase, bin_count = 4, bin_count_early = 2
Done binary_co_occurence_paraphrase, bin_count = 6, bin_count_early = 5
Done binary_co_occurence_paraphrase, bin_count = 12, bin_count_early = 5
Done binary_co_occurence_paraphrase, bin_count = 9, bin_count_early = 0
Done binary_co_occurence_paraphrase, bin_count = 1, bin_count_early = 1
Done binary_co_occurence_paraphrase, bin_count = 0, bin_count_early = 0
Done binary_co_occurence_paraphrase, bin_count = 0, bin_count_early = 0
Done binary_co_occurence_paraphrase, bin_count = 6, bin_count_early = 3
Done binary_co_occurence_paraphrase, bin_count = 2, bin_count_early = 2
Done binary_co_occurence_paraphrase, bin_count = 2, bin_count_early = 2
Done binary_co_occurence_paraphrase, bin_count = 5, bin_count_early = 3
Done binary_co_occurence_paraphrase, bin_count = 4, bin_count_early = 3
Done binary_co_occurence_paraphrase, bin_count = 5, bin_count_early = 1
Done binary_co_occurence_paraphrase, bin_count = 3, bin_count_early = 0
Done binary_co_occurence_paraphrase, bin_count = 4, bin_count_early = 0
Done binary_co_occurence_paraphrase, bin_count = 3, bin_count_early = 1
Done binary_co_occurence_paraphrase, bin_count = 3, bin_count_early = 2
Done binary_co_occurence_paraphrase, bin_count = 4, bin_count_early = 2
Done binary_co_occurence_paraphrase, bin_count = 1, bin_count_early = 1
Done binary_co_occurence_paraphrase, bin_count = 21, bin_count_early = 12
Done binary_co_occurence_paraphrase, bin_count = 9, bin_count_early = 3
Done binary_co_occurence_paraphrase, bin_count = 7, bin_count_early = 4
Done binary_co_occurence_paraphrase, bin_count = 3, bin_count_early = 3
Done binary_co_occurence_paraphrase, bin_count = 8, bin_count_early = 3
Done binary_co_occurence_paraphrase, bin_count = 2, bin_count_early = 2
Done binary_co_occurence_paraphrase, bin_count = 3, bin_count_early = 3
Done binary_co_occurence_paraphrase, bin_count = 5, bin_count_early = 5
Done binary_co_occurence_paraphrase, bin_count = 2, bin_count_early = 0
Done binary_co_occurence_paraphrase, bin_count = 1, bin_count_early = 1
Done binary_co_occurence_paraphrase, bin_count = 2, bin_count_early = 0
Done binary_co_occurence_paraphrase, bin_count = 3, bin_count_early = 2
Done binary_co_occurence_paraphrase, bin_count = 11, bin_count_early = 6
Done binary_co_occurence_paraphrase, bin_count = 8, bin_count_early = 2
Done binary_co_occurence_paraphrase, bin_count = 0, bin_count_early = 0
Done binary_co_occurence_paraphrase, bin_count = 6, bin_count_early = 2
Done binary_co_occurence_paraphrase, bin_count = 9, bin_count_early = 7
Done binary_co_occurence_paraphrase, bin_count = 1, bin_count_early = 0
Done binary_co_occurence_paraphrase, bin_count = 0, bin_count_early = 0
Done binary_co_occurence_paraphrase, bin_count = 3, bin_count_early = 3
Done binary_co_occurence_paraphrase, bin_count = 4, bin_count_early = 2
Done binary_co_occurence_paraphrase, bin_count = 2, bin_count_early = 2
Done binary_co_occurence_paraphrase, bin_count = 3, bin_count_early = 3
Done binary_co_occurence_paraphrase, bin_count = 4, bin_count_early = 4
Done binary_co_occurence_paraphrase, bin_count = 8, bin_count_early = 0
Done binary_co_occurence_paraphrase, bin_count = 8, bin_count_early = 4
Creating features/refuting.8_3.npy...
346it [00:00, 3678.42it/s]
Creating features/polarity.8_3.npy...
346it [00:01, 177.41it/s]
Creating features/hand.8_3.npy...
346it [00:01, 198.77it/s]
Done binary_co_occurence_paraphrase, bin_count = 2, bin_count_early = 1
Done binary_co_occurence_paraphrase, bin_count = 4, bin_count_early = 4
Done binary_co_occurence_paraphrase, bin_count = 3, bin_count_early = 2
Done binary_co_occurence_paraphrase, bin_count = 11, bin_count_early = 5
Done binary_co_occurence_paraphrase, bin_count = 5, bin_count_early = 5
Done binary_co_occurence_paraphrase, bin_count = 7, bin_count_early = 0
Done binary_co_occurence_paraphrase, bin_count = 4, bin_count_early = 4
Done binary_co_occurence_paraphrase, bin_count = 3, bin_count_early = 1
Done binary_co_occurence_paraphrase, bin_count = 5, bin_count_early = 4
Done binary_co_occurence_paraphrase, bin_count = 2, bin_count_early = 2
Done binary_co_occurence_paraphrase, bin_count = 4, bin_count_early = 1
Done binary_co_occurence_paraphrase, bin_count = 3, bin_count_early = 2
Done binary_co_occurence_paraphrase, bin_count = 7, bin_count_early = 1
Done binary_co_occurence_paraphrase, bin_count = 1, bin_count_early = 0
Done binary_co_occurence_paraphrase, bin_count = 6, bin_count_early = 5
Done binary_co_occurence_paraphrase, bin_count = 3, bin_count_early = 1
Done binary_co_occurence_paraphrase, bin_count = 3, bin_count_early = 3
Done binary_co_occurence_paraphrase, bin_count = 4, bin_count_early = 1
Done binary_co_occurence_paraphrase, bin_count = 2, bin_count_early = 0
Done binary_co_occurence_paraphrase, bin_count = 15, bin_count_early = 3
Done binary_co_occurence_paraphrase, bin_count = 6, bin_count_early = 6
Done binary_co_occurence_paraphrase, bin_count = 3, bin_count_early = 2
Done binary_co_occurence_paraphrase, bin_count = 2, bin_count_early = 0
Done binary_co_occurence_paraphrase, bin_count = 2, bin_count_early = 1
Done binary_co_occurence_paraphrase, bin_count = 2, bin_count_early = 2
Done binary_co_occurence_paraphrase, bin_count = 1, bin_count_early = 1
Done binary_co_occurence_paraphrase, bin_count = 2, bin_count_early = 0
Done binary_co_occurence_paraphrase, bin_count = 6, bin_count_early = 4
Done binary_co_occurence_paraphrase, bin_count = 5, bin_count_early = 5
Done binary_co_occurence_paraphrase, bin_count = 0, bin_count_early = 0
Done binary_co_occurence_paraphrase, bin_count = 1, bin_count_early = 1
Done binary_co_occurence_paraphrase, bin_count = 10, bin_count_early = 3
Done binary_co_occurence_paraphrase, bin_count = 3, bin_count_early = 2
Done binary_co_occurence_paraphrase, bin_count = 3, bin_count_early = 3
Done binary_co_occurence_paraphrase, bin_count = 3, bin_count_early = 1
Done binary_co_occurence_paraphrase, bin_count = 2, bin_count_early = 2
Done binary_co_occurence_paraphrase, bin_count = 4, bin_count_early = 2
Done binary_co_occurence_paraphrase, bin_count = 4, bin_count_early = 2
Done binary_co_occurence_paraphrase, bin_count = 2, bin_count_early = 2
Done binary_co_occurence_paraphrase, bin_count = 2, bin_count_early = 2
Done binary_co_occurence_paraphrase, bin_count = 5, bin_count_early = 4
Done binary_co_occurence_paraphrase, bin_count = 4, bin_count_early = 3
Done binary_co_occurence_paraphrase, bin_count = 3, bin_count_early = 3
Done binary_co_occurence_paraphrase, bin_count = 4, bin_count_early = 4
Done binary_co_occurence_paraphrase, bin_count = 5, bin_count_early = 2
Done binary_co_occurence_paraphrase, bin_count = 0, bin_count_early = 0
Done binary_co_occurence_paraphrase, bin_count = 4, bin_count_early = 3
Done binary_co_occurence_paraphrase, bin_count = 13, bin_count_early = 8
Done binary_co_occurence_paraphrase, bin_count = 4, bin_count_early = 3
Done binary_co_occurence_paraphrase, bin_count = 3, bin_count_early = 2
Done binary_co_occurence_paraphrase, bin_count = 6, bin_count_early = 5
Done binary_co_occurence_paraphrase, bin_count = 3, bin_count_early = 2
Done binary_co_occurence_paraphrase, bin_count = 1, bin_count_early = 1
Done binary_co_occurence_paraphrase, bin_count = 5, bin_count_early = 3
Done binary_co_occurence_paraphrase, bin_count = 3, bin_count_early = 2
Done binary_co_occurence_paraphrase, bin_count = 5, bin_count_early = 3
Done binary_co_occurence_paraphrase, bin_count = 8, bin_count_early = 3
Done binary_co_occurence_paraphrase, bin_count = 1, bin_count_early = 1
Done binary_co_occurence_paraphrase, bin_count = 1, bin_count_early = 1
Done binary_co_occurence_paraphrase, bin_count = 4, bin_count_early = 3
Done binary_co_occurence_paraphrase, bin_count = 2, bin_count_early = 0
Done binary_co_occurence_paraphrase, bin_count = 4, bin_count_early = 3
Done binary_co_occurence_paraphrase, bin_count = 3, bin_count_early = 3
Done binary_co_occurence_paraphrase, bin_count = 2, bin_count_early = 1
Done binary_co_occurence_paraphrase, bin_count = 5, bin_count_early = 2
Done binary_co_occurence_paraphrase, bin_count = 3, bin_count_early = 2
Done binary_co_occurence_paraphrase, bin_count = 3, bin_count_early = 3
Done binary_co_occurence_paraphrase, bin_count = 4, bin_count_early = 3
Done binary_co_occurence_paraphrase, bin_count = 2, bin_count_early = 1
Done binary_co_occurence_paraphrase, bin_count = 2, bin_count_early = 1
Done binary_co_occurence_paraphrase, bin_count = 10, bin_count_early = 4
Done binary_co_occurence_paraphrase, bin_count = 3, bin_count_early = 2
Done binary_co_occurence_paraphrase, bin_count = 3, bin_count_early = 1
Done binary_co_occurence_paraphrase, bin_count = 6, bin_count_early = 6
Done binary_co_occurence_paraphrase, bin_count = 6, bin_count_early = 4
Done binary_co_occurence_paraphrase, bin_count = 4, bin_count_early = 3
Done binary_co_occurence_paraphrase, bin_count = 4, bin_count_early = 1
Done binary_co_occurence_paraphrase, bin_count = 3, bin_count_early = 2
Done binary_co_occurence_paraphrase, bin_count = 8, bin_count_early = 5
Done binary_co_occurence_paraphrase, bin_count = 5, bin_count_early = 5
Done binary_co_occurence_paraphrase, bin_count = 6, bin_count_early = 4
Done binary_co_occurence_paraphrase, bin_count = 2, bin_count_early = 2
Done binary_co_occurence_paraphrase, bin_count = 6, bin_count_early = 4
Done binary_co_occurence_paraphrase, bin_count = 4, bin_count_early = 0
Done binary_co_occurence_paraphrase, bin_count = 2, bin_count_early = 1
Done binary_co_occurence_paraphrase, bin_count = 0, bin_count_early = 0
Done binary_co_occurence_paraphrase, bin_count = 5, bin_count_early = 4
Done binary_co_occurence_paraphrase, bin_count = 0, bin_count_early = 0
Done binary_co_occurence_paraphrase, bin_count = 5, bin_count_early = 5
Done binary_co_occurence_paraphrase, bin_count = 4, bin_count_early = 2
Done binary_co_occurence_paraphrase, bin_count = 5, bin_count_early = 4
Done binary_co_occurence_paraphrase, bin_count = 6, bin_count_early = 4
Done binary_co_occurence_paraphrase, bin_count = 7, bin_count_early = 6
Done binary_co_occurence_paraphrase, bin_count = 4, bin_count_early = 3
Done binary_co_occurence_paraphrase, bin_count = 5, bin_count_early = 4
Done binary_co_occurence_paraphrase, bin_count = 3, bin_count_early = 2
Done binary_co_occurence_paraphrase, bin_count = 7, bin_count_early = 5
Done binary_co_occurence_paraphrase, bin_count = 3, bin_count_early = 0
Done binary_co_occurence_paraphrase, bin_count = 4, bin_count_early = 3
Done binary_co_occurence_paraphrase, bin_count = 4, bin_count_early = 2
Done binary_co_occurence_paraphrase, bin_count = 1, bin_count_early = 0
Done binary_co_occurence_paraphrase, bin_count = 6, bin_count_early = 5
Done binary_co_occurence_paraphrase, bin_count = 4, bin_count_early = 3
Done binary_co_occurence_paraphrase, bin_count = 1, bin_count_early = 0
Done binary_co_occurence_paraphrase, bin_count = 2, bin_count_early = 0
Done binary_co_occurence_paraphrase, bin_count = 7, bin_count_early = 5
Done binary_co_occurence_paraphrase, bin_count = 8, bin_count_early = 5
Done binary_co_occurence_paraphrase, bin_count = 3, bin_count_early = 0
Done binary_co_occurence_paraphrase, bin_count = 3, bin_count_early = 3
Done binary_co_occurence_paraphrase, bin_count = 6, bin_count_early = 6
Done binary_co_occurence_paraphrase, bin_count = 4, bin_count_early = 2
Done binary_co_occurence_paraphrase, bin_count = 7, bin_count_early = 2
Done binary_co_occurence_paraphrase, bin_count = 2, bin_count_early = 0
Done binary_co_occurence_paraphrase, bin_count = 4, bin_count_early = 1
Done binary_co_occurence_paraphrase, bin_count = 0, bin_count_early = 0
Done binary_co_occurence_paraphrase, bin_count = 0, bin_count_early = 0
Done binary_co_occurence_paraphrase, bin_count = 1, bin_count_early = 0
Done binary_co_occurence_paraphrase, bin_count = 1, bin_count_early = 1
Done binary_co_occurence_paraphrase, bin_count = 2, bin_count_early = 0
Done binary_co_occurence_paraphrase, bin_count = 9, bin_count_early = 6
Done binary_co_occurence_paraphrase, bin_count = 1, bin_count_early = 1
Done binary_co_occurence_paraphrase, bin_count = 2, bin_count_early = 0
Done binary_co_occurence_paraphrase, bin_count = 5, bin_count_early = 1
Done binary_co_occurence_paraphrase, bin_count = 9, bin_count_early = 4
Done binary_co_occurence_paraphrase, bin_count = 3, bin_count_early = 3
Done binary_co_occurence_paraphrase, bin_count = 1, bin_count_early = 0
Done binary_co_occurence_paraphrase, bin_count = 3, bin_count_early = 2
Done binary_co_occurence_paraphrase, bin_count = 8, bin_count_early = 2
Done binary_co_occurence_paraphrase, bin_count = 8, bin_count_early = 2
Done binary_co_occurence_paraphrase, bin_count = 2, bin_count_early = 1
Done binary_co_occurence_paraphrase, bin_count = 6, bin_count_early = 6
Done binary_co_occurence_paraphrase, bin_count = 2, bin_count_early = 1
Done binary_co_occurence_paraphrase, bin_count = 5, bin_count_early = 1
Done binary_co_occurence_paraphrase, bin_count = 3, bin_count_early = 2
Done binary_co_occurence_paraphrase, bin_count = 5, bin_count_early = 2
Done binary_co_occurence_paraphrase, bin_count = 1, bin_count_early = 0
Done binary_co_occurence_paraphrase, bin_count = 3, bin_count_early = 2
Done binary_co_occurence_paraphrase, bin_count = 5, bin_count_early = 4
Done binary_co_occurence_paraphrase, bin_count = 1, bin_count_early = 1
Done binary_co_occurence_paraphrase, bin_count = 1, bin_count_early = 0
Done binary_co_occurence_paraphrase, bin_count = 3, bin_count_early = 1
Done binary_co_occurence_paraphrase, bin_count = 3, bin_count_early = 3
Done binary_co_occurence_paraphrase, bin_count = 1, bin_count_early = 1
Done binary_co_occurence_paraphrase, bin_count = 5, bin_count_early = 4
Done binary_co_occurence_paraphrase, bin_count = 4, bin_count_early = 1
Done binary_co_occurence_paraphrase, bin_count = 2, bin_count_early = 2
Done binary_co_occurence_paraphrase, bin_count = 5, bin_count_early = 2
Done binary_co_occurence_paraphrase, bin_count = 9, bin_count_early = 9
Done binary_co_occurence_paraphrase, bin_count = 4, bin_count_early = 0
Done binary_co_occurence_paraphrase, bin_count = 4, bin_count_early = 1
Done binary_co_occurence_paraphrase, bin_count = 1, bin_count_early = 1
Done binary_co_occurence_paraphrase, bin_count = 1, bin_count_early = 0
Done binary_co_occurence_paraphrase, bin_count = 3, bin_count_early = 3
Done binary_co_occurence_paraphrase, bin_count = 4, bin_count_early = 3
Done binary_co_occurence_paraphrase, bin_count = 3, bin_count_early = 1
Done binary_co_occurence_paraphrase, bin_count = 5, bin_count_early = 2
Done binary_co_occurence_paraphrase, bin_count = 2, bin_count_early = 1
Done binary_co_occurence_paraphrase, bin_count = 0, bin_count_early = 0
Done binary_co_occurence_paraphrase, bin_count = 4, bin_count_early = 3
Done binary_co_occurence_paraphrase, bin_count = 4, bin_count_early = 2
Done binary_co_occurence_paraphrase, bin_count = 5, bin_count_early = 5
Done binary_co_occurence_paraphrase, bin_count = 9, bin_count_early = 3
Done binary_co_occurence_paraphrase, bin_count = 0, bin_count_early = 0
Done binary_co_occurence_paraphrase, bin_count = 0, bin_count_early = 0
Done binary_co_occurence_paraphrase, bin_count = 1, bin_count_early = 1
Done binary_co_occurence_paraphrase, bin_count = 2, bin_count_early = 0
Done binary_co_occurence_paraphrase, bin_count = 2, bin_count_early = 2
Done binary_co_occurence_paraphrase, bin_count = 3, bin_count_early = 1
Done binary_co_occurence_paraphrase, bin_count = 3, bin_count_early = 2
Done binary_co_occurence_paraphrase, bin_count = 4, bin_count_early = 3
Done binary_co_occurence_paraphrase, bin_count = 2, bin_count_early = 0
Done binary_co_occurence_paraphrase, bin_count = 4, bin_count_early = 0
Done binary_co_occurence_paraphrase, bin_count = 3, bin_count_early = 2
Done binary_co_occurence_paraphrase, bin_count = 5, bin_count_early = 4
Done binary_co_occurence_paraphrase, bin_count = 1, bin_count_early = 1
Done binary_co_occurence_paraphrase, bin_count = 5, bin_count_early = 3
Done binary_co_occurence_paraphrase, bin_count = 3, bin_count_early = 2
Done binary_co_occurence_paraphrase, bin_count = 4, bin_count_early = 3
Done binary_co_occurence_paraphrase, bin_count = 2, bin_count_early = 2
Done binary_co_occurence_paraphrase, bin_count = 2, bin_count_early = 0
Done binary_co_occurence_paraphrase, bin_count = 7, bin_count_early = 5
Done binary_co_occurence_paraphrase, bin_count = 2, bin_count_early = 2
Done binary_co_occurence_paraphrase, bin_count = 3, bin_count_early = 2
Done binary_co_occurence_paraphrase, bin_count = 0, bin_count_early = 0
Done binary_co_occurence_paraphrase, bin_count = 1, bin_count_early = 1
Done binary_co_occurence_paraphrase, bin_count = 3, bin_count_early = 3
Done binary_co_occurence_paraphrase, bin_count = 1, bin_count_early = 0
Done binary_co_occurence_paraphrase, bin_count = 3, bin_count_early = 2
Done binary_co_occurence_paraphrase, bin_count = 2, bin_count_early = 1
Done binary_co_occurence_paraphrase, bin_count = 5, bin_count_early = 1
Done binary_co_occurence_paraphrase, bin_count = 4, bin_count_early = 3
Done binary_co_occurence_paraphrase, bin_count = 5, bin_count_early = 3
Done binary_co_occurence_paraphrase, bin_count = 8, bin_count_early = 2
Done binary_co_occurence_paraphrase, bin_count = 3, bin_count_early = 2
Done binary_co_occurence_paraphrase, bin_count = 7, bin_count_early = 5
Done binary_co_occurence_paraphrase, bin_count = 6, bin_count_early = 2
Done binary_co_occurence_paraphrase, bin_count = 3, bin_count_early = 2
Done binary_co_occurence_paraphrase, bin_count = 3, bin_count_early = 3
Done binary_co_occurence_paraphrase, bin_count = 3, bin_count_early = 0
Done binary_co_occurence_paraphrase, bin_count = 2, bin_count_early = 0
Done binary_co_occurence_paraphrase, bin_count = 4, bin_count_early = 4
Done binary_co_occurence_paraphrase, bin_count = 2, bin_count_early = 2
Done binary_co_occurence_paraphrase, bin_count = 3, bin_count_early = 1
Done binary_co_occurence_paraphrase, bin_count = 1, bin_count_early = 0
Done binary_co_occurence_paraphrase, bin_count = 6, bin_count_early = 2
Done binary_co_occurence_paraphrase, bin_count = 3, bin_count_early = 3
Done binary_co_occurence_paraphrase, bin_count = 4, bin_count_early = 2
Done binary_co_occurence_paraphrase, bin_count = 3, bin_count_early = 2
Done binary_co_occurence_paraphrase, bin_count = 10, bin_count_early = 3
Done binary_co_occurence_paraphrase, bin_count = 1, bin_count_early = 0
Done binary_co_occurence_paraphrase, bin_count = 10, bin_count_early = 3
Done binary_co_occurence_paraphrase, bin_count = 3, bin_count_early = 1
Done binary_co_occurence_paraphrase, bin_count = 7, bin_count_early = 5
Done binary_co_occurence_paraphrase, bin_count = 4, bin_count_early = 2
Done binary_co_occurence_paraphrase, bin_count = 2, bin_count_early = 0
Done binary_co_occurence_paraphrase, bin_count = 2, bin_count_early = 2
Done binary_co_occurence_paraphrase, bin_count = 2, bin_count_early = 1
Done binary_co_occurence_paraphrase, bin_count = 4, bin_count_early = 0
Done binary_co_occurence_paraphrase, bin_count = 5, bin_count_early = 3
Done binary_co_occurence_paraphrase, bin_count = 6, bin_count_early = 5
Done binary_co_occurence_paraphrase, bin_count = 8, bin_count_early = 3
Done binary_co_occurence_paraphrase, bin_count = 6, bin_count_early = 4
Done binary_co_occurence_paraphrase, bin_count = 8, bin_count_early = 7
Done binary_co_occurence_paraphrase, bin_count = 7, bin_count_early = 5
Done binary_co_occurence_paraphrase, bin_count = 2, bin_count_early = 1
Done binary_co_occurence_paraphrase, bin_count = 5, bin_count_early = 2
Done binary_co_occurence_paraphrase, bin_count = 4, bin_count_early = 4
Done binary_co_occurence_paraphrase, bin_count = 2, bin_count_early = 2
Done binary_co_occurence_paraphrase, bin_count = 8, bin_count_early = 7
Done binary_co_occurence_paraphrase, bin_count = 1, bin_count_early = 1
Done binary_co_occurence_paraphrase, bin_count = 7, bin_count_early = 6
Done binary_co_occurence_paraphrase, bin_count = 4, bin_count_early = 2
Done binary_co_occurence_paraphrase, bin_count = 7, bin_count_early = 7
Done binary_co_occurence_paraphrase, bin_count = 1, bin_count_early = 1
